"COD_LOJA","NOME_LOJA","PERIODO","COD_PRODUTO","NOME_PRODUTO","Qtd Ano Ant","Valor Ano Ant","Qtd Atual","Valor Atual","Variacao (%)"
C20074,CENTRO DE DISTRIBUICAO ANGELONI,jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,-222.00,-888.00,0.00
C20074,CENTRO DE DISTRIBUICAO ANGELONI,jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,-610.00,-5978.00,0.00
C20074,CENTRO DE DISTRIBUICAO ANGELONI,jan-fev 2025 e jan-fev 2026,"",>> SUBTOTAL DA LOJA <<,0.00,0.00,-832.00,-6866.00,0.00
ZZZ,---->> RESUMO GERAL DA REDE (POR PRODUTO),jan-fev 2025 e jan-fev 2026,"00341",AGUA DE COCO 300ML FD/12,0.00,0.00,-222.00,-888.00,0.00
ZZZ,---->> RESUMO GERAL DA REDE (POR PRODUTO),jan-fev 2025 e jan-fev 2026,"00225",AGUA DE COCO 1 LITRO FD/06,0.00,0.00,-610.00,-5978.00,0.00
ZZZZ,========>> TOTAL GERAL ABSOLUTO <<========,jan-fev 2025 e jan-fev 2026,"","",0.00,0.00,-832.00,-6866.00,0.00
