"COD_LOJA","NOME_LOJA","ANO","MES","COD_PRODUTO","NOME_PRODUTO","Qtd Total","Valor Total"
C20074,CENTRO DE DISTRIBUICAO ANGELONI,2025,10,"00225",AGUA DE COCO 1 LITRO FD/06,672.00,39513.60
C20074,CENTRO DE DISTRIBUICAO ANGELONI,2025,10,"00341",AGUA DE COCO 300ML FD/12,240.00,11520.00
C20074,CENTRO DE DISTRIBUICAO ANGELONI,2025,12,"00225",AGUA DE COCO 1 LITRO FD/06,1008.00,59270.40
C20074,CENTRO DE DISTRIBUICAO ANGELONI,2025,12,"00341",AGUA DE COCO 300ML FD/12,480.00,23040.00
