"COD_LOJA","NOME_LOJA","Valor Ano Anterior","Valor Atual","Variacao (%)"
C20074,CENTRO DE DISTRIBUICAO ANGELONI,0.00,-4486.60,0.00
ZZZZZ,---->> TOTAL REDE SAVEGNAGO,0.00,-4486.60,0.00
